,ID,Gender,MaritalStat,EducationLevel,Field,Experience,HappyWorkingHere?,TakeAdditionalCourse?,Position,Sector,Age,SatisfiedMySalary,WagePolicyFairness,SatisfiedNonWageCompensation,SatisfiedMyWork,SatisfiedMyOrganization,ManagementAttitude,WageReward,ColleaguesAttitude,WorkingConditions,JobSecurity,FinancialPerformance,NonFinancialPerformans
26,27.0,Male,Married,PhD,Health Care,11 - 15 Years,No,No,Mid-level manager,Private,37.0,Neither agree nor disagree,Disagree,Strongly disagree,Disagree,Disagree,1.92,1.71,2.0,2.67,4.0,2.0,2.0
27,28.0,Male,Married,PhD,Health Care,11 - 15 Years,No,Yes,Expert,Private,36.0,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,2.0,1.29,3.5,1.33,4.5,2.75,3.0
28,29.0,Female,Married,Master,Education,6 - 10 Years,Yes,Yes,Expert,Private,31.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,4.42,3.29,3.33,4.67,4.5,2.75,3.25
29,30.0,Female,Married,PhD,Health Care,11 - 15 Years,Yes,Yes,Expert,Private,41.0,Disagree,Disagree,Strongly disagree,Agree,Agree,3.0,1.86,3.0,3.33,5.0,1.0,1.25
30,31.0,Female,Married,Bachelor,Health Care,11 - 15 Years,Yes,Yes,Mid-level manager,State,33.0,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,2.5,1.57,3.67,2.33,3.5,3.75,3.75
31,32.0,Female,Married,Bachelor,Health Care,11 - 15 Years,No,Yes,Staff,State,35.0,Neither agree nor disagree,Strongly disagree,Disagree,Agree,Disagree,2.33,1.71,4.5,2.5,1.5,1.0,1.5
32,33.0,Female,Married,Master,Health Care,16 - 20 Years,No,No,Staff,State,44.0,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,2.25,1.57,1.5,3.0,2.0,3.0,3.0
33,34.0,Female,Married,Master,Finance,16 - 20 Years,Yes,Yes,Expert,Private,43.0,Disagree,Disagree,Strongly disagree,Disagree,Disagree,1.92,1.43,1.0,2.17,5.0,2.0,2.0
34,35.0,Female,Married,PhD,Health Care,11 - 15 Years,Yes,Yes,Expert,Private,36.0,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,1.58,2.86,3.67,2.67,1.0,1.0,1.0
35,36.0,Female,Married,Bachelor,Finance,6 - 10 Years,No,No,Staff,State,41.0,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,2.42,1.86,2.83,2.17,2.5,3.0,3.0
36,37.0,Male,Married,PhD,Education,21 + Years,Yes,Yes,Senior manager,Private,47.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4.0,4.71,3.83,4.83,3.0,5.0,5.0
37,38.0,Male,Married,Master,Finance,21 + Years,Yes,Yes,Mid-level manager,Private,51.0,Strongly agree,Agree,Agree,Agree,Agree,3.75,4.14,3.5,4.17,4.0,2.75,2.5
38,39.0,Male,Married,Bachelor,Finance,1 - 5 Years,Yes,Yes,Expert,Private,25.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,5.0,5.0,5.0,5.0,5.0,5.0,5.0
39,40.0,Male,Married,Bachelor,Finance,1 - 5 Years,Yes,Yes,Expert,Private,25.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,5.0,5.0,5.0,5.0,5.0,5.0,5.0
40,41.0,Male,Married,Bachelor,Finance,21 + Years,Yes,Yes,Senior manager,Private,48.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,4.0,3.29,4.17,4.5,4.5,4.0,4.0
41,42.0,Female,Married,PhD,Education,21 + Years,Yes,No,Mid-level manager,State,48.0,Strongly disagree,Disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,2.58,1.71,2.17,3.17,5.0,4.0,4.0
42,43.0,Female,Married,Master,Health Care,6 - 10 Years,No,No,Staff,State,32.0,Disagree,Strongly disagree,Agree,Disagree,Neither agree nor disagree,3.58,3.29,2.0,2.67,2.0,5.0,4.75
43,44.0,Female,Married,Master,Health Care,6 - 10 Years,No,No,Staff,State,32.0,Disagree,Strongly disagree,Agree,Disagree,Neither agree nor disagree,3.58,3.29,2.0,2.67,2.0,5.0,4.75
44,45.0,Male,Married,Bachelor,Finance,16 - 20 Years,Yes,Yes,Mid-level manager,Private,43.0,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,4.67,4.43,4.83,5.0,4.5,4.25,3.75
45,46.0,Male,Married,Bachelor,Finance,21 + Years,Yes,No,Mid-level manager,Private,48.0,Strongly agree,Agree,Strongly agree,Agree,Agree,4.17,4.29,3.67,3.83,4.5,3.25,3.5
46,47.0,Female,Married,Master,Education,16 - 20 Years,No,No,Expert,Private,35.0,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,1.92,1.86,2.83,2.17,5.0,1.0,1.75
47,48.0,Male,Married,Bachelor,Health Care,16 - 20 Years,Yes,Yes,Mid-level manager,Private,40.0,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,3.58,3.57,2.83,3.17,3.5,2.25,2.75
48,49.0,Female,Married,PhD,Education,6 - 10 Years,Yes,No,Staff,State,32.0,Agree,Agree,Agree,Agree,Strongly agree,4.58,3.71,3.17,3.5,5.0,4.0,4.0
49,50.0,Male,Married,Bachelor,Finance,1 - 5 Years,Yes,No,Staff,State,24.0,Agree,Neither agree nor disagree,Disagree,Agree,Agree,3.67,3.29,4.17,4.33,4.5,3.75,3.5
50,51.0,Female,Married,PhD,Education,1 - 5 Years,No,No,Staff,State,29.0,Agree,Agree,Agree,Agree,Agree,4.25,4.0,3.67,3.83,4.0,3.0,2.75
51,52.0,Female,Married,Master,Health Care,6 - 10 Years,Yes,Yes,Staff,State,32.0,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,3.33,1.86,3.5,3.67,5.0,3.0,3.0
52,53.0,Male,Married,Bachelor,Production,21 + Years,Yes,Yes,Senior manager,Private,48.0,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,4.83,4.0,4.17,4.17,4.0,4.0,4.75
53,54.0,Female,Married,Bachelor,Health Care,1 - 5 Years,Yes,No,Mid-level manager,State,25.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,3.5,2.43,4.0,3.0,3.0,2.0,3.25
54,55.0,Male,Married,Bachelor,Education,1 - 5 Years,Yes,No,Staff,State,23.0,Agree,Agree,Neither agree nor disagree,Agree,Agree,3.08,3.71,3.67,3.67,2.5,3.75,4.25
55,56.0,Male,Married,Bachelor,Information Technology,21 + Years,Yes,Yes,Senior manager,Private,49.0,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,3.92,3.71,3.67,3.67,4.5,3.5,3.25
56,57.0,Male,Married,Master,Education,6 - 10 Years,Yes,No,Staff,State,32.0,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2.75,2.86,2.33,3.17,2.5,3.0,2.75
57,58.0,Male,Married,Master,Education,21 + Years,Yes,No,Expert,Private,45.0,Agree,Agree,Disagree,Agree,Disagree,2.33,2.43,2.5,2.5,1.0,2.5,2.0
58,59.0,Female,Married,Bachelor,Production,11 - 15 Years,No,Yes,Expert,Private,35.0,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,3.0,2.14,2.33,3.0,3.0,3.5,2.75
59,60.0,Male,Married,PhD,Education,6 - 10 Years,Yes,No,Staff,State,33.0,Agree,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,2.25,2.29,2.5,2.33,1.0,2.75,2.25
60,61.0,Female,Married,Bachelor,Finance,6 - 10 Years,Yes,No,Operation manager,State,34.0,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,2.33,1.57,2.33,2.5,4.0,2.5,2.75
61,62.0,Male,Married,PhD,Education,1 - 5 Years,Yes,Yes,Expert,Private,27.0,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,3.83,4.0,3.17,4.17,2.0,3.25,3.75
62,63.0,Male,Married,Master,Finance,6 - 10 Years,Yes,No,Mid-level manager,Private,38.0,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,3.58,4.0,2.83,4.5,5.0,3.75,4.75
63,64.0,Male,Married,Bachelor,Education,11 - 15 Years,Yes,Yes,Mid-level manager,Private,39.0,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,4.75,4.71,5.0,5.0,5.0,3.5,3.5
64,65.0,Male,Married,Bachelor,Education,11 - 15 Years,Yes,Yes,Mid-level manager,Private,39.0,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,4.75,4.71,5.0,5.0,5.0,3.5,3.5
65,66.0,Female,Married,PhD,Health Care,16 - 20 Years,Yes,No,Mid-level manager,State,42.0,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,2.17,1.43,2.0,1.83,2.5,1.75,2.75
66,67.0,Female,Married,Bachelor,Health Care,11 - 15 Years,Yes,No,Mid-level manager,State,31.0,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,4.83,3.29,5.0,4.5,5.0,3.5,3.25
67,68.0,Male,Married,Bachelor,Finance,11 - 15 Years,Yes,Yes,Mid-level manager,Private,34.0,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,1.08,1.0,1.0,1.17,1.0,1.0,1.0
68,69.0,Male,Married,Bachelor,Finance,11 - 15 Years,No,Yes,Mid-level manager,Private,34.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4.92,4.86,5.0,5.0,5.0,4.25,4.5
69,70.0,Male,Single,Bachelor,Finance,1 - 5 Years,No,Yes,Operation manager,State,25.0,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,4.17,4.29,3.0,4.83,5.0,4.5,4.75
70,71.0,Male,Married,Master,Finance,1 - 5 Years,Yes,Yes,Expert,Private,31.0,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,2.0,1.86,2.0,4.33,2.0,4.0,3.25
71,72.0,Male,Married,Bachelor,Finance,1 - 5 Years,Yes,No,Staff,State,23.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4.67,4.71,4.5,4.83,4.0,4.75,4.75
72,73.0,Male,Married,Bachelor,Finance,6 - 10 Years,Yes,Yes,Expert,Private,31.0,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,4.92,4.86,5.0,5.0,5.0,5.0,4.75
73,74.0,Male,Married,Bachelor,Finance,11 - 15 Years,Yes,Yes,Staff,State,30.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,4.67,3.86,4.83,4.83,5.0,5.0,4.75
74,75.0,Male,Married,Bachelor,Finance,1 - 5 Years,Yes,No,Staff,State,24.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,5.0,5.0,5.0,5.0,5.0,4.5,5.0
75,76.0,Male,Married,Bachelor,Finance,1 - 5 Years,Yes,Yes,Expert,Private,29.0,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,4.67,3.71,4.83,4.67,4.5,4.25,4.0
76,77.0,Female,Married,Master,Health Care,6 - 10 Years,Yes,Yes,Mid-level manager,State,32.0,Disagree,Disagree,Strongly disagree,Agree,Agree,3.75,2.71,4.0,3.83,3.5,3.5,4.0
77,78.0,Female,Married,Master,Health Care,1 - 5 Years,Yes,No,Staff,State,25.0,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,1.67,1.57,2.67,2.5,1.0,1.25,1.75
78,79.0,Female,Married,Bachelor,Finance,1 - 5 Years,Yes,No,Staff,State,23.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,4.25,3.57,4.0,4.17,3.5,4.0,4.0
79,80.0,Female,Married,PhD,Health Care,6 - 10 Years,Yes,No,Expert,Private,31.0,Disagree,Neither agree nor disagree,Agree,Agree,Agree,2.75,2.86,3.0,2.67,5.0,1.0,1.0
80,81.0,Male,Married,Bachelor,Finance,11 - 15 Years,Yes,No,Staff,State,31.0,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,4.58,2.57,4.67,4.0,4.0,4.0,4.25
81,82.0,Male,Married,Bachelor,Finance,1 - 5 Years,Yes,Yes,Operation manager,State,34.0,Disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Agree,3.25,2.0,4.17,3.67,3.5,4.0,4.0
82,83.0,Male,Married,Bachelor,Finance,1 - 5 Years,Yes,No,Staff,State,24.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4.75,4.71,4.33,5.0,4.0,4.5,5.0
83,84.0,Male,Married,Bachelor,Finance,6 - 10 Years,No,No,Staff,State,28.0,Neither agree nor disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,4.42,3.43,4.83,4.33,5.0,3.5,5.0
84,85.0,Female,Married,Bachelor,Finance,6 - 10 Years,Yes,No,Staff,State,22.0,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,3.83,2.57,4.83,4.0,3.5,4.0,4.0
85,86.0,Male,Married,Bachelor,Information Technology,1 - 5 Years,Yes,Yes,Operation manager,State,32.0,Agree,Agree,Agree,Strongly agree,Strongly agree,4.42,4.29,4.17,4.67,5.0,3.75,3.75
86,87.0,Female,Married,Bachelor,Finance,1 - 5 Years,Yes,No,Staff,State,35.0,Neither agree nor disagree,Agree,Disagree,Strongly agree,Strongly agree,3.92,3.14,3.5,4.5,4.5,3.5,3.25
87,88.0,Female,Married,Bachelor,Finance,6 - 10 Years,Yes,No,Staff,State,31.0,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Agree,3.92,2.43,4.17,3.67,3.5,4.25,4.25
88,89.0,Female,Married,Bachelor,Finance,6 - 10 Years,No,No,Staff,State,27.0,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,3.58,1.86,4.0,3.5,3.0,4.0,3.75
89,90.0,Female,Married,Bachelor,Finance,6 - 10 Years,Yes,Yes,Staff,State,27.0,Agree,Agree,Agree,Strongly agree,Strongly agree,4.75,4.29,4.67,4.83,5.0,5.0,5.0
90,91.0,Male,Married,Bachelor,Finance,11 - 15 Years,Yes,Yes,Expert,Private,30.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,5.0,5.0,5.0,5.0,5.0,5.0,5.0
91,92.0,Male,Married,Bachelor,Finance,1 - 5 Years,Yes,No,Staff,State,24.0,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,3.75,2.86,4.0,3.5,3.5,4.0,4.0
92,93.0,Male,Married,Bachelor,Finance,16 - 20 Years,Yes,Yes,Staff,State,37.0,Agree,Agree,Disagree,Agree,Agree,3.92,3.57,4.5,3.83,3.5,4.75,4.75
93,94.0,Female,Married,Bachelor,Finance,1 - 5 Years,Yes,No,Staff,State,28.0,Neither agree nor disagree,Disagree,Strongly disagree,Agree,Agree,3.42,2.43,2.17,3.67,2.5,4.75,4.25
94,95.0,Male,Married,Bachelor,Finance,1 - 5 Years,Yes,Yes,Staff,State,25.0,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,4.75,4.0,5.0,4.67,2.0,4.75,4.25
95,96.0,Male,Married,Bachelor,Finance,16 - 20 Years,Yes,Yes,Operation manager,State,39.0,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,4.75,4.71,5.0,5.0,5.0,4.75,4.5
96,97.0,Female,Married,Master,Health Care,16 - 20 Years,Yes,Yes,Senior manager,Private,38.0,Agree,Neither agree nor disagree,Disagree,Agree,Agree,3.75,2.86,4.0,4.17,4.0,3.5,3.0
97,98.0,Female,Married,Master,Health Care,11 - 15 Years,No,Yes,Mid-level manager,State,33.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,4.0,2.71,4.0,4.0,3.0,4.0,4.0
98,99.0,Male,Married,Bachelor,Finance,11 - 15 Years,Yes,No,Expert,Private,36.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,3.83,4.86,3.67,3.83,5.0,5.0,5.0
99,100.0,Male,Married,Bachelor,Finance,6 - 10 Years,No,No,Expert,Private,32.0,Neither agree nor disagree,Disagree,Disagree,Strongly agree,Strongly agree,4.17,3.14,4.0,4.5,4.5,3.75,4.0
100,101.0,Male,Married,PhD,Education,11 - 15 Years,Yes,No,Expert,Private,38.0,Agree,Agree,Agree,Agree,Agree,3.75,3.86,4.0,4.0,2.5,2.5,3.25
101,102.0,Female,Married,Bachelor,Health Care,6 - 10 Years,Yes,No,Mid-level manager,State,32.0,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,3.17,2.29,2.67,2.67,2.5,3.25,3.0
102,103.0,Female,Married,Bachelor,Health Care,6 - 10 Years,No,Yes,Mid-level manager,State,30.0,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,3.5,2.14,3.67,3.5,4.0,2.5,2.0
103,104.0,Male,Married,Bachelor,Finance,6 - 10 Years,Yes,Yes,Expert,Private,34.0,Agree,Neither agree nor disagree,Disagree,Strongly agree,Strongly agree,3.92,3.43,3.83,4.17,4.0,4.5,4.25
104,105.0,Male,Married,Master,Finance,6 - 10 Years,No,Yes,Mid-level manager,Private,31.0,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,3.5,2.57,3.17,3.17,3.0,2.0,2.25
105,106.0,Female,Married,Master,Finance,6 - 10 Years,Yes,Yes,Expert,Private,30.0,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,2.42,2.86,3.17,3.5,3.0,3.5,3.0
106,107.0,Female,Married,Master,Health Care,21 + Years,Yes,Yes,Expert,Private,49.0,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,3.33,1.57,3.5,3.17,4.0,2.5,2.0
107,108.0,Male,Married,Bachelor,Education,16 - 20 Years,Yes,No,Staff,State,41.0,Agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,4.42,4.29,4.5,4.83,4.5,3.5,3.75
108,109.0,Male,Married,Master,Education,11 - 15 Years,Yes,Yes,Mid-level manager,Private,34.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,3.75,3.71,4.5,4.33,4.5,3.25,4.25
109,110.0,Male,Married,Master,Finance,11 - 15 Years,Yes,Yes,Staff,State,37.0,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,1.33,1.29,1.0,2.67,5.0,1.0,1.0
110,111.0,Male,Married,Bachelor,Education,1 - 5 Years,No,No,Staff,State,27.0,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Disagree,3.5,1.43,3.83,3.17,4.0,3.25,3.25
111,112.0,Female,Married,Bachelor,Information Technology,1 - 5 Years,Yes,No,Staff,State,25.0,Agree,Agree,Agree,Strongly agree,Strongly agree,4.92,4.29,4.67,5.0,4.5,4.25,5.0
112,113.0,Male,Married,Bachelor,Finance,1 - 5 Years,Yes,Yes,Staff,State,26.0,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,4.08,3.29,4.33,4.5,4.5,4.5,4.5
113,114.0,Male,Married,Bachelor,Education,6 - 10 Years,Yes,No,Staff,State,30.0,Disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,2.75,1.86,3.67,2.83,4.5,3.25,3.25
114,115.0,Female,Married,Master,Finance,1 - 5 Years,Yes,No,Staff,State,25.0,Agree,Agree,Agree,Agree,Agree,4.25,4.0,4.17,4.17,4.5,4.75,4.25
115,116.0,Female,Married,Master,Education,1 - 5 Years,Yes,Yes,Staff,State,25.0,Agree,Agree,Neither agree nor disagree,Agree,Agree,4.17,3.86,3.67,4.17,5.0,3.75,4.0
116,117.0,Female,Married,PhD,Education,6 - 10 Years,Yes,Yes,Mid-level manager,State,35.0,Agree,Agree,Agree,Agree,Agree,4.17,3.43,4.0,3.67,4.0,3.75,4.0
117,118.0,Male,Married,Bachelor,Finance,1 - 5 Years,No,No,Mid-level manager,Private,23.0,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,4.08,4.0,3.67,4.17,5.0,5.0,5.0
118,119.0,Female,Married,Master,Education,1 - 5 Years,Yes,Yes,Expert,Private,33.0,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,3.17,3.14,3.67,3.83,4.0,3.75,3.75
119,120.0,Male,Married,PhD,Education,11 - 15 Years,Yes,No,Staff,State,40.0,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,3.42,3.14,3.33,3.83,4.0,3.25,3.75
120,121.0,Female,Married,PhD,Education,21 + Years,Yes,Yes,Staff,State,53.0,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,4.5,2.57,3.83,4.5,4.0,3.25,4.0
121,122.0,Male,Married,PhD,Education,16 - 20 Years,Yes,No,Mid-level manager,Private,40.0,Agree,Agree,Neither agree nor disagree,Agree,Agree,3.58,2.86,2.5,3.67,4.5,3.0,3.75
122,123.0,Male,Married,Master,Education,1 - 5 Years,Yes,No,Expert,Private,28.0,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,3.83,2.0,3.83,3.33,4.0,1.5,1.25
123,124.0,Male,Married,Master,Education,21 + Years,Yes,Yes,Senior manager,Private,59.0,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,3.83,3.29,4.5,3.67,1.0,3.75,3.75
